ITEM_DESCRIPTION,RETAIL_SALES
90+ CELLARS LOT 153 SAUVIGNON BLANC - 750ML,0.0
90+ CELLARS LOT 152 CHARDONNAY - 750ML,0.0
90+ CELLARS LOT CHALONE CHARD 750 ML,0.0
90+ CELLARS LOT 144 CHIANTI RISERVA 750 ML,0.0
90+ CELLARS LOT 143 COTES DU RHONE 750 ML,0.0
90+ CELLARS LOT 137 PINOT NOIR WILLIAMETTE VALLEY OREGON 750 ML,0.0
90+ CELLARS LOT 134 MOSC D'ASTI - 750ML,0.0
90+ CELLARS LOT 132 ROSE COTES DE PROVENCE 750 ML,0.0
90+ CELLARS LOT 130 RR VLY CHARD - 750ML,0.0
90+ CELLARS LOT 128 GRAN VINO RED 11 - 750ML,0.0
90+ CELLARS LOT 127 CAB/CARMN 14 - 750ML,0.0
90+ CELLARS LOT 126 SANC - 750ML,0.0
90+ CELLARS LOT 125 PINOT NOIR - 750ML,0.0
90+ CELLARS LOT 122 CHARD 13 - 750ML,0.0
90+ CELLARS LOT 113 BIG RED BLEND - 750ML,0.0
RUBIN VYDS PAM'S UN-OAKED CHARD - 750ML,0.0
90+ CELLARS LOT 50 PROSECCO - 187ML,0.0
90+ CELLARS LOT 50 PROSECCO - 1.5L,0.0
90+ CELLARS LOT 49 ROSE PROSECCO - 750ML,0.0
90+ CELLARS LOT 37 SHZ - 750ML,0.0
90+ CELLARS LOT 33 LANG ROSE - 750ML,0.0
90+ CELLARS LOT 26 BAROLO - 750ML,0.0
90+ CELLARS LOT 23 OLD VNS MALB 14 - 750ML,0.0
90+ CELLARS LOT 23 OLD VNS MALB - 750ML,0.0
90+ CELLARS LOT 21 FRENCH FUSION RED - 750ML,0.0
90+ CELLARS LOT 2 S/BLC - 750ML,0.0
90+ CELLARS LOT 172 LAMBRUSCO - 750ML,0.0
90+ CELLARS LOT 162 CDR RED - 750ML,0.0
90+ CELLARS LOT 161 RED BORD - 750ML,0.0
90+ CELLARS LOT 161 BORDEAUX - 750ML,0.0
90+ CELLARS LOT 157 PINOT NOIR CHILE - 750ML,0.0
90+ CELLARS LOT 155 SOCO ZINFANDEL - 750ML,0.0
90+CELLARS LOT 158 BEAUJOLAIS - 750ML,0.0
90+ CELLARS WEEKENDER 16 (3PK-LOT23/LOT42/LOT2) - 750ML,0.0
90+ CELLARS STAGS LEAP ANNIVERSARY CAB - 750ML,0.0
90+ CELLARS ST HELENA CABERNET SAUVIGNON - 750ML,0.0
99 VINES SHZ - 750ML,0.0
90+ CELLARS LOT 95 SUPER CUVEE - 750ML,0.0
90+ CELLARS LOT 94 CAB NAPA VLY 13 - 750ML,0.0
90+ CELLARS LOT 94 CAB NAPA VLY - 750ML,0.0
90+ CELLARS LOT 92 MER 13 - 750ML,0.0
90+ CELLARS LOT 92 MER - 750ML,0.0
90+ CELLARS LOT 75 RR P/NOIR 13 - 750ML,0.0
90+ CELLARS LOT 75 RR P/NOIR - 750ML,0.0
RUBEN & FLORA RED BLEND - 750ML,0.0
90+ CELLARS LOT 65 FRENCH FUSION WHITE - 750ML,0.0
90+ CELLARS LOT 53 CAB 14 - 750ML,0.0
90+ CELLARS LOT 50 PROSECCO - 750ML,0.0
99 VINES P/NOIR - 750ML,0.0
99 VINES P/GRIG - 750ML,0.0
99 VINES MOSCATO - 750ML,0.0
99 VINES MERLOT - 1.5L,0.0
99 VINES MER - 750ML,0.0
99 VINES CHARD - 750ML,0.0
99 VINES CHARD - 1.5L,0.0
99 VINES CAB - 750ML,0.0
A LE COQ IMPERIAL MARZEN 500 ML,0.0
SLY FOX OATMEAL STOUT 1/6 KEG,0.0
961 LAGER 6/4 NR - 11.2OZ,0.0
901 SUMMIT ZINF - 750ML,0.0
901 SUMMIT P/NOIR - 750ML,0.0
